ipc_code,sample_count,sample_ratio,estimated_80pct_train_samples,below_2,below_5,below_10
G06F,644,0.0653,515,否,否,否
G06Q,448,0.0454,358,否,否,否
H04L,303,0.0307,242,否,否,否
G01N,254,0.0257,203,否,否,否
H02J,223,0.0226,178,否,否,否
B29C,211,0.0214,168,否,否,否
B65G,210,0.0213,168,否,否,否
H01M,156,0.0158,124,否,否,否
H02S,155,0.0157,124,否,否,否
B01D,150,0.0152,120,否,否,否
B08B,139,0.0141,111,否,否,否
B23K,130,0.0132,104,否,否,否
H05K,121,0.0123,96,否,否,否
A01G,119,0.0121,95,否,否,否
C02F,113,0.0115,90,否,否,否
G06V,104,0.0105,83,否,否,否
G05B,103,0.0104,82,否,否,否
H04W,102,0.0103,81,否,否,否
H04N,101,0.0102,80,否,否,否
B01F,98,0.0099,78,否,否,否
G01R,97,0.0098,77,否,否,否
B24B,95,0.0096,76,否,否,否
B60L,93,0.0094,74,否,否,否
B65B,83,0.0084,66,否,否,否
B25J,83,0.0084,66,否,否,否
F16M,83,0.0084,66,否,否,否
B21D,81,0.0082,64,否,否,否
H01L,77,0.0078,61,否,否,否
B02C,77,0.0078,61,否,否,否
E04G,76,0.0077,60,否,否,否
B65D,76,0.0077,60,否,否,否
G06T,74,0.0075,59,否,否,否
B01J,71,0.0072,56,否,否,否
G01M,70,0.0071,56,否,否,否
B65H,66,0.0067,52,否,否,否
C12N,63,0.0064,50,否,否,否
G09B,62,0.0063,49,否,否,否
G06K,61,0.0062,48,否,否,否
G01B,61,0.0062,48,否,否,否
B66F,58,0.0059,46,否,否,否
A23L,58,0.0059,46,否,否,否
B23Q,56,0.0057,44,否,否,否
B23P,55,0.0056,44,否,否,否
B26D,55,0.0056,44,否,否,否
C04B,53,0.0054,42,否,否,否
F26B,51,0.0052,40,否,否,否
G08G,50,0.0051,40,否,否,否
B25B,50,0.0051,40,否,否,否
C08L,50,0.0051,40,否,否,否
B28B,48,0.0049,38,否,否,否
A61B,48,0.0049,38,否,否,否
F21S,47,0.0048,37,否,否,否
A61K,46,0.0047,36,否,否,否
C01B,45,0.0046,36,否,否,否
G08B,45,0.0046,36,否,否,否
G05D,44,0.0045,35,否,否,否
G16H,44,0.0045,35,否,否,否
H01R,42,0.0043,33,否,否,否
B23D,41,0.0042,32,否,否,否
B07B,40,0.0041,32,否,否,否
F24F,39,0.004,31,否,否,否
A01K,39,0.004,31,否,否,否
E04H,38,0.0039,30,否,否,否
B05B,37,0.0037,29,否,否,否
G01S,37,0.0037,29,否,否,否
E01D,36,0.0036,28,否,否,否
A01M,35,0.0035,28,否,否,否
A47J,35,0.0035,28,否,否,否
H02B,35,0.0035,28,否,否,否
H02K,35,0.0035,28,否,否,否
H01B,34,0.0034,27,否,否,否
G01D,33,0.0033,26,否,否,否
B66C,33,0.0033,26,否,否,否
H02M,32,0.0032,25,否,否,否
B07C,32,0.0032,25,否,否,否
B25H,32,0.0032,25,否,否,否
E02D,32,0.0032,25,否,否,否
G09F,32,0.0032,25,否,否,否
H04B,30,0.003,24,否,否,否
B63B,30,0.003,24,否,否,否
E21B,30,0.003,24,否,否,否
B29B,30,0.003,24,否,否,否
B05C,30,0.003,24,否,否,否
B22F,29,0.0029,23,否,否,否
G10L,29,0.0029,23,否,否,否
C12M,29,0.0029,23,否,否,否
H01Q,28,0.0028,22,否,否,否
C07D,28,0.0028,22,否,否,否
A47B,28,0.0028,22,否,否,否
G02B,28,0.0028,22,否,否,否
A01N,27,0.0027,21,否,否,否
B41F,26,0.0026,20,否,否,否
B32B,26,0.0026,20,否,否,否
E04B,26,0.0026,20,否,否,否
E04D,26,0.0026,20,否,否,否
H05B,26,0.0026,20,否,否,否
C22C,26,0.0026,20,否,否,否
C09D,25,0.0025,20,否,否,否
A23N,25,0.0025,20,否,否,否
B28C,25,0.0025,20,否,否,否
H01H,25,0.0025,20,否,否,否
G01C,24,0.0024,19,否,否,否
B22D,24,0.0024,19,否,否,否
B62D,23,0.0023,18,否,否,否
B23B,23,0.0023,18,否,否,否
H04Q,22,0.0022,17,否,否,否
C21D,22,0.0022,17,否,否,否
F24D,22,0.0022,17,否,否,否
B62B,21,0.0021,16,否,否,否
F25D,21,0.0021,16,否,否,否
A61L,21,0.0021,16,否,否,否
C03B,20,0.002,16,否,否,否
D06B,20,0.002,16,否,否,否
B30B,20,0.002,16,否,否,否
B67C,20,0.002,16,否,否,否
B31B,20,0.002,16,否,否,否
H01F,20,0.002,16,否,否,否
E02B,20,0.002,16,否,否,否
E04F,19,0.0019,15,否,否,否
B41J,19,0.0019,15,否,否,否
A21C,18,0.0018,14,否,否,否
G07C,18,0.0018,14,否,否,否
F16L,18,0.0018,14,否,否,否
F25B,17,0.0017,13,否,否,否
G01F,17,0.0017,13,否,否,否
C08J,17,0.0017,13,否,否,否
A61G,17,0.0017,13,否,否,否
A61H,17,0.0017,13,否,否,否
A61M,16,0.0016,12,否,否,否
H02G,16,0.0016,12,否,否,否
E01F,16,0.0016,12,否,否,否
A61F,16,0.0016,12,否,否,否
A01C,16,0.0016,12,否,否,否
C08G,16,0.0016,12,否,否,否
B21B,16,0.0016,12,否,否,否
B65F,16,0.0016,12,否,否,否
C07K,16,0.0016,12,否,否,否
A47L,15,0.0015,12,否,否,否
F16K,15,0.0015,12,否,否,否
G07F,15,0.0015,12,否,否,否
F03D,15,0.0015,12,否,否,否
F24H,15,0.0015,12,否,否,否
B21F,15,0.0015,12,否,否,否
B22C,15,0.0015,12,否,否,否
E21D,15,0.0015,12,否,否,否
C07C,14,0.0014,11,否,否,否
C03C,14,0.0014,11,否,否,否
E21F,14,0.0014,11,否,否,否
B60R,14,0.0014,11,否,否,否
C23C,14,0.0014,11,否,否,否
B28D,14,0.0014,11,否,否,否
B21J,14,0.0014,11,否,否,否
A47F,14,0.0014,11,否,否,否
B21C,13,0.0013,10,否,否,否
B64D,13,0.0013,10,否,否,否
B60K,13,0.0013,10,否,否,否
G06N,13,0.0013,10,否,否,否
F27B,13,0.0013,10,否,否,否
B60S,13,0.0013,10,否,否,否
G01L,13,0.0013,10,否,否,否
E06B,13,0.0013,10,否,否,否
B26F,13,0.0013,10,否,否,否
H01G,12,0.0012,9,否,否,否
F28D,12,0.0012,9,否,否,否
F04B,12,0.0012,9,否,否,否
C12Q,12,0.0012,9,否,否,否
B09B,12,0.0012,9,否,否,否
E03F,11,0.0011,8,否,否,否
C09K,11,0.0011,8,否,否,否
E01B,11,0.0011,8,否,否,否
E03B,11,0.0011,8,否,否,否
B27C,10,0.001,8,否,否,否
A61N,10,0.001,8,否,否,否
B60P,10,0.001,8,否,否,否
C09J,10,0.001,8,否,否,否
B60H,10,0.001,8,否,否,否
F16B,10,0.001,8,否,否,否
A62C,10,0.001,8,否,否,否
C25B,10,0.001,8,否,否,否
F16F,10,0.001,8,否,否,否
B64F,10,0.001,8,否,否,否
F04D,10,0.001,8,否,否,否
A01B,10,0.001,8,否,否,否
D06F,10,0.001,8,否,否,否
F27D,10,0.001,8,否,否,否
C25D,10,0.001,8,否,否,否
A22C,9,0.0009,7,否,否,是
A23K,9,0.0009,7,否,否,是
F17D,9,0.0009,7,否,否,是
B66B,9,0.0009,7,否,否,是
B01L,9,0.0009,7,否,否,是
E01C,9,0.0009,7,否,否,是
D04B,9,0.0009,7,否,否,是
A01D,9,0.0009,7,否,否,是
F24S,9,0.0009,7,否,否,是
H02H,9,0.0009,7,否,否,是
D05B,9,0.0009,7,否,否,是
A41D,9,0.0009,7,否,否,是
B60W,9,0.0009,7,否,否,是
F17C,9,0.0009,7,否,否,是
A61C,8,0.0008,6,否,否,是
G01H,8,0.0008,6,否,否,是
H02P,8,0.0008,6,否,否,是
F15B,8,0.0008,6,否,否,是
A63B,8,0.0008,6,否,否,是
D01F,8,0.0008,6,否,否,是
A23C,8,0.0008,6,否,否,是
B61L,8,0.0008,6,否,否,是
G01V,8,0.0008,6,否,否,是
G01G,8,0.0008,6,否,否,是
F21V,8,0.0008,6,否,否,是
F16H,8,0.0008,6,否,否,是
G11B,7,0.0007,5,否,否,是
F22B,7,0.0007,5,否,否,是
A61J,7,0.0007,5,否,否,是
E04C,7,0.0007,5,否,否,是
E05B,7,0.0007,5,否,否,是
E01H,7,0.0007,5,否,否,是
A45C,7,0.0007,5,否,否,是
G01K,7,0.0007,5,否,否,是
B60T,7,0.0007,5,否,否,是
A23B,7,0.0007,5,否,否,是
D06P,7,0.0007,5,否,否,是
H02N,7,0.0007,5,否,否,是
B64C,7,0.0007,5,否,否,是
A47C,7,0.0007,5,否,否,是
H04M,7,0.0007,5,否,否,是
E03D,7,0.0007,5,否,否,是
B61D,7,0.0007,5,否,否,是
B67B,7,0.0007,5,否,否,是
B03C,7,0.0007,5,否,否,是
C05G,6,0.0006,4,否,否,是
A21D,6,0.0006,4,否,否,是
D03D,6,0.0006,4,否,否,是
C12P,6,0.0006,4,否,否,是
G16C,6,0.0006,4,否,否,是
F24C,6,0.0006,4,否,否,是
