ipc_subclass,support,precision,recall,f1
G06F,953,0.4771513353115727,0.8436516264428122,0.6095526914329037
G06Q,695,0.47198105761641673,0.860431654676259,0.6095820591233435
H04L,460,0.3705408515535098,0.7,0.48457486832204666
H02J,404,0.45614035087719296,0.7722772277227723,0.5735294117647058
B08B,332,0.38910505836575876,0.6024096385542169,0.4728132387706856
B01D,327,0.3621621621621622,0.6146788990825688,0.4557823129251701
G06K,314,0.34306569343065696,0.5987261146496815,0.4361948955916473
H02S,313,0.5315985130111525,0.9137380191693291,0.6721504112808461
G01N,310,0.4409448818897638,0.7225806451612903,0.5476772616136919
G06N,280,0.4358407079646018,0.7035714285714286,0.5382513661202186
B65G,275,0.3543788187372709,0.6327272727272727,0.45430809399477806
B29C,245,0.46616541353383456,0.7591836734693878,0.577639751552795
G06V,213,0.362116991643454,0.6103286384976526,0.45454545454545453
H01M,212,0.5692307692307692,0.8726415094339622,0.6890130353817505
H05K,208,0.34551495016611294,0.5,0.4086444007858546
H04N,201,0.43157894736842106,0.6119402985074627,0.5061728395061729
H04W,181,0.376271186440678,0.6132596685082873,0.46638655462184875
C02F,171,0.4834710743801653,0.6842105263157895,0.5665859564164649
B33Y,156,0.7268292682926829,0.9551282051282052,0.8254847645429363
B23K,152,0.5837837837837838,0.7105263157894737,0.6409495548961425
A01G,147,0.6041666666666666,0.7891156462585034,0.6843657817109144
B60L,147,0.5391705069124424,0.7959183673469388,0.6428571428571429
G06T,136,0.4207920792079208,0.625,0.5029585798816568
F16M,131,0.27624309392265195,0.3816793893129771,0.32051282051282054
G05B,130,0.2737430167597765,0.3769230769230769,0.31715210355987056
B01F,127,0.48044692737430167,0.6771653543307087,0.5620915032679739
G08B,124,0.4339622641509434,0.5564516129032258,0.4876325088339223
G01R,119,0.3488372093023256,0.37815126050420167,0.3629032258064516
H01L,114,0.5419847328244275,0.6228070175438597,0.5795918367346938
B23Q,112,0.3625,0.5178571428571429,0.4264705882352941
B02C,109,0.646551724137931,0.6880733944954128,0.6666666666666666
B24B,105,0.6793893129770993,0.8476190476190476,0.7542372881355932
